name,year,month,visitors,price
Old Fashioned,18th,total,8760,17
Negroni,20th,total,6504,15.99
 Daiquir,19th,total,3024,14.99
Dry Martini,19th,total,2757,15.86
Margarita,19th,total,6538,9.25
Bloody Mary,19th,total,7348,12.99
Americano,20th,total,1302,18
57 Chevy,2001,total,1512,16
Caipirinha,2001,total,1301,13.99
Long Island Icetea,2001,total,903,22.29
"Pina Colada ""real""",2001,total,601,3.95
Wiki Waki Woo,2001,total,517,31.98
Ghostbuster,2001,total,444,7.49
Tall Blonde,2001,total,573,3.25
Mai Tai,2001,total,1414,4.49
77 Sunset Strip,2001,total,402,139.99
Zombie,2001,total,301,3.99
Bleeding Heart,2001,October,2,14.99
Time Bomb,2001,October,2,99.95
Sunny,2001,October,2,7.07
Daiquiri Slush,2001,October,2,5.5
Cuba Libre,2001,October,1,42.99
Lemon Drop,2001,October,1,20
American Beauty (Aperitif),2001,November,168,3.23
Sex On The Beach,2001,December,75,14.29
Baby Aspirin,2002,total,1337,3
Boston Tea Party,2002,March,96,4.88
Mojito,2002,April,101,8
Mojito original,2003,total,8032,10.99
Highfly,2003,total,324,23.45
Veronika's Birthday,2003,January,516,6.95
B52,2003,April,155,15
Cuban Special,2003,July,1316,8.98
Sputnik,2003,August,571,9
Grasshopper,2003,November,627,21
LastWord,2004,January,670,9
Gimlet,2004,February,791,15
Planter'sPunch (1),2004,March,750,19.7
A Day At The Beach,2004,May,583,17.5
Lumumba,2004,June,391,13.5
White Russian (der Echte!),2004,September,265,5.74
Absinth,2005,total,4070,30.3
Sex On The Beach 3,2005,June,205,12.3
Tequila Sunrise,2005,July,192,13.12
Erdbeerbowle,2007,May,865,10.13
Kaukasier,2007,August,553,8.75
Seven and Seven,2009,total,2629,8.75
Strawberry Pineapple Milk Shake,2010,April,173,11
ElDorado,2011,January,2593,31.87
Grand Slam Trend,2011,January,1955,19.6
Irish Flag (alkoholisch),2011,March,194,1
Kamikaze Shot,2011,October,239,30.3
Bull Shot,2014,September,107,4
Brandy Crusta,2015,June,540,7.8
Bramble,2015,July,470,11.99
Wild Russian,2015,August,115,8.6
Bacardi Reserva,2015,August,750,26.6
Caipiroska Fragola,2015,October,152,22.02
ElDiablo,2015,October,168,45.99
Asti Pink,2015,October,126,8.5
Bitter Sweet (Aperitif),2015,October,124,17.95
Bamboo (Aperitif),2015,October,1123,28.41
Aperol sour,2016,August,94,9.25
Omas offenes Bein,2016,October,73,8.75
James Bond Martini,2017,March,81,49.95
Moscow Mule 2,2017,April,87,4.1
London Fog,2017,April,74,58.5
Fireball,2017,Mai,267,20.16
Boston Cooler,2017,November,41,4.88
Whiskey Sour,2017,December,3779,6.5
Alexander,2018,March,90,48.99
"Pina Colada ""real""",2018,June,188,19.99
Snowball Fizz,2018,June,162,5.98
Evilsch,2018,June,125,16.98
Hot Whiskey Toddy,2018,June,116,34.4
B and B,2018,June,111,18
Gin-n-Fruit,2018,June,111,3.99
Gine And Tonic,2018,June,109,8.2
Di Amore Dream,2018,July,118,2.3
Birne Aperitif,2018,August,153,39.4
Kir Framboise,2018,August,117,83
Gin Alexander,1920,August,106,48.99
Queen Of Scots,2006,August,91,13.9
Apricot Sour,2018,August,90,4.5
Traffic Light Cooler,2018,August,82,16.5
Manhattan medium 2,2018,August,3506,35
Russian Bear Cocktail,2018,August,80,8.2
J?germeister,2018,September,40,18.9
Blueberry Martini,2018,September,40,16.7
Jungle Bird,1989,January,358,30
Whiskey Sour 2,19th,total,996,16.14
Alexander 2,1907,March,54,48.99
PinkLady,2020,May,339,5.5
Bellini,20th,total,1632,12.3
Tom Collins,1876,total,1037,7.5
French 75 (CDrink),1915,total,1304,14
