cocktail name,price
Espresso Martini,15
Kir Royal,15
Negroni,15
French 75,15
Classic Martini,15
Old Fashioned,15
Passion Fruits Martini,15
Margarita or Spicy Margarita,15
Pornstar Martini,9.95
Espresso Martini,9.5
Mojito,9.95
Long Island iced tea,9.95
Nicholson's mule,10.5
Nicholson's old fashioned,9.95
Negroni,11.5
Bramble,11
Espresso Martini,11.5
Pornstar Martini ,11.5
Rhubarb Mule,12
Margarita ,11
The Caribbean Kiss,10
The Pornstars Best Friend,10.5
The Jaffa Cake,11
Chocolate Chilli Picante Margarita,10.5
Cherry Fizz,9
Tangerine Spritz,9
Ginny Chin Chin,11
Banana Colada ,10.5
Sweet Pairing,10.5
White Choco Woo Woo,10.5
English Rhubarb Collins,10.5
Chocolate Sangria,8.5
The Caramel King,10
Cherry Bakewell,10.5
Tipsy Tiramisu,11
Mint To Be,10.5
Raspberry Ripple,10.5
Biscoff Martini,10.5
